source,metric,sub_metric,amount,currency,pages,notes
ar2015,expenditure,expenditure_on_the_arts,1884,EUR_000,,Extracted from annual report statement/note
ar2015,expenditure,grants,49924,EUR_000,,Extracted from annual report statement/note
ar2015,expenditure,other_admin_costs,2231,EUR_000,,Extracted from annual report statement/note
ar2015,expenditure,staff_remuneration,3337,EUR_000,,Extracted from annual report statement/note
ar2015,expenditure,total,57376.0,EUR_000,,Corrected - derived as sum of expenditure components (previously omitted staff_remuneration)
ar2015,income,net_deferred_funding_for_retirement_benefits,858,EUR_000,,Extracted from annual report statement/note
ar2015,income,oireachtas_grant,56724,EUR_000,,Extracted from annual report statement/note
ar2015,income,other_grants,276,EUR_000,,Extracted from annual report statement/note
ar2015,income,other_income,1,EUR_000,,Extracted from annual report statement/note
ar2015,income,total,57859.0,EUR_000,,Derived as sum of income components
ar2015,staff,total_headcount,42,count,,Corrected from statement line extraction
ar2015,surplus,for_year,483,EUR_000,,Extracted from annual report statement/note
ar2016,expenditure,expenditure_on_the_arts,2668,EUR_000,,Extracted from annual report statement/note
ar2016,expenditure,grants,53709,EUR_000,,Extracted from annual report statement/note
ar2016,expenditure,other_admin_costs,2035,EUR_000,,Extracted from annual report statement/note
ar2016,expenditure,staff_remuneration,3786,EUR_000,,Extracted from annual report statement/note
ar2016,expenditure,total,62198.0,EUR_000,,Corrected - derived as sum of expenditure components (previously omitted staff_remuneration)
ar2016,income,net_deferred_funding_for_retirement_benefits,809,EUR_000,,Extracted from annual report statement/note
ar2016,income,oireachtas_grant,61189,EUR_000,,Extracted from annual report statement/note
ar2016,income,other_grants,346,EUR_000,,Extracted from annual report statement/note
ar2016,income,other_income,1,EUR_000,,Extracted from annual report statement/note
ar2016,income,total,62345.0,EUR_000,,Derived as sum of income components
ar2016,staff,total_headcount,42,count,,Corrected from statement line extraction
ar2016,surplus,before_appropriations,147,EUR_000,,Extracted from annual report statement/note
ar2016,surplus,for_year,274,EUR_000,,Extracted from annual report statement/note
ar2017,expenditure,expenditure_on_the_arts,2522,EUR_000,,Extracted from annual report statement/note
ar2017,expenditure,grants,58043,EUR_000,,Extracted from annual report statement/note
ar2017,expenditure,other_admin_costs,1855,EUR_000,,Extracted from annual report statement/note
ar2017,expenditure,staff_remuneration,4588,EUR_000,,Extracted from annual report statement/note
ar2017,expenditure,total,67008.0,EUR_000,,Derived as sum of expenditure components
ar2017,income,net_deferred_funding_for_retirement_benefits,1030,EUR_000,,Extracted from annual report statement/note
ar2017,income,oireachtas_grant,65941,EUR_000,,Extracted from annual report statement/note
ar2017,income,other_grants,374,EUR_000,,Extracted from annual report statement/note
