period,type,url
2024,annual report,https://artscouncil.ie/wp-content/uploads/2025/11/Arts-Council-Annual-Report-2024-Single-pages.pdf
2023,annual report,https://artscouncil.ie/wp-content/uploads/2025/03/Annual-Report-2023.pdf
2022,annual report,https://artscouncil.ie/wp-content/uploads/2024/11/Annual-Report-2022.pdf
2021,annual report,https://artscouncil.ie/wp-content/uploads/2024/11/AC-Annual-Report-2021-Digital.pdf
2020,annual report,https://artscouncil.ie/wp-content/uploads/2024/11/AC-Annual-Report-2020-DigitalFINAL1.pdf
2019,annual report,https://artscouncil.ie/wp-content/uploads/2024/11/Annual-Report-2019.pdf
2018,annual report,https://artscouncil.ie/wp-content/uploads/2024/11/Annual-Report-2018.pdf
2017,annual report,https://artscouncil.ie/wp-content/uploads/2024/11/Annual-Report-2017.pdf
2016,annual report,https://artscouncil.ie/wp-content/uploads/2024/11/Arts_Council_AR16_final_visual.pdf
2015,annual report,https://artscouncil.ie/wp-content/uploads/2024/11/AnnualReport2015.pdf
